Breed Name,Height,Weight,Life Span,Breed Group,About the breed,URL,Image URL
Chihuahua,6–9 in,2–9 lb,14–20 yr,Terrier,"Chihuahuas are the smallest dog breed in the world, but these tiny pups have big personalities and even bigger hearts. When properly socialized, Chihuahuas make for quirky, alert companions that are well-suited for living in apartments and small homes.",https://www.wisdompanel.com/en-us/dog-breeds/chihuahua/,https://breed-assets.wisdompanel.com/dog/chihuahua/Chihuahua__Longhair__Color_Small_File.png
Japanese Chin,8–11 in,6–15 lb,10–12 yr,Companion,"Japanese Chins have a lot in common with cats. They're reserved and fastidious, groom themselves often, and move through life with a slightly superior attitude. Chins will even claim a favorite spot in the house to lie back and take in the world.",https://www.wisdompanel.com/en-us/dog-breeds/japanese-chin/,https://breed-assets.wisdompanel.com/dog/japanese-chin/Japanese_Chin_Color_Small_File.png
Maltese,8–10 in,5–13 lb,12–15 yr,Companion,"Maltese are big bundles of energy in little bodies. This toy breed has been charming owners with their lively, playful personalities for centuries. Known for being affectionate and outgoing, Maltese make excellent family pets.",https://www.wisdompanel.com/en-us/dog-breeds/maltese/,https://breed-assets.wisdompanel.com/dog/maltese/Maltese_Color.png
Pekingese,7–8 in,6–15 lb,10–14 yr,Companion,"Pekingese are little dogs with big personalities. Known as an independent, headstrong, and confident breed, Pekingese know just how to charm their ways into their family’s hearts.",https://www.wisdompanel.com/en-us/dog-breeds/pekingese/,https://breed-assets.wisdompanel.com/dog/pekingese/Pekingnese_Color_Small_File.png
Shih Tzu,10–11 in,10–21 lb,10–15 yr,Companion,The Shih Tzu is an outgoing and affectionate dog. They love people and cherish their roles as adorable lapdogs. Shih Tzu are especially fond of children and make great pint-sized playmates.,https://www.wisdompanel.com/en-us/dog-breeds/shih-tzu/,https://breed-assets.wisdompanel.com/dog/shih-tzu/Shih_Tzu_Color.png
Cavalier King Charles Spaniel,12–13 in,11–23 lb,12–15 yr,Sporting,"Cavalier King Charles Spaniels are very affectionate and attentive. Though lively and playful companions, they're also happy to curl up on the couch with their favorite human.",https://www.wisdompanel.com/en-us/dog-breeds/cavalier-king-charles-spaniel/,https://breed-assets.wisdompanel.com/dog/cavalier-king-charles-spaniel/Cavalier_King_Charles_Spaniel_Color_Small_File.png
Papillon,8–11 in,4–12 lb,12–16 yr,Companion,"The Papillon is a friendly, alert, and happy breed. These tiny dogs are also natural athletes that love high-energy play sessions with their owners.",https://www.wisdompanel.com/en-us/dog-breeds/papillon/,https://breed-assets.wisdompanel.com/dog/papillon/Papillon_Color_Small_File.png
Toy Fox Terrier,9–11 in,3–10 lb,13–15 yr,Terrier,"If you're looking for an agile, energetic, intelligent, and playful dog, the Toy Fox Terrier fits the bill. These dogs excel at hunting squirrels and other small animals. And with a protective nature and tendency to bark, the Toy Fox Terrier also makes an excellent watchdog.",https://www.wisdompanel.com/en-us/dog-breeds/fox-terrier-toy/,https://breed-assets.wisdompanel.com/dog/fox-terrier-toy/Toy_Fox_Terrier_Color_Small_File.png
Rhodesian Ridgeback,24–26 in,59–97 lb,10–12 yr,Middle Eastern and African,"The Rhodesian Ridgeback is a beautiful, powerful hound. These dogs are affectionate and even-tempered with their owners. But they can also be strong-willed and independent—with a strong instinct to hunt. When trained and socialized, Rhodesian Ridgebacks make excellent companion pets.",https://www.wisdompanel.com/en-us/dog-breeds/rhodesian-ridgeback/,https://breed-assets.wisdompanel.com/dog/rhodesian-ridgeback/Rhodesian_Ridgeback_Color_Small_File.png
Afghan Hound,25–29 in,40–77 lb,12–15 yr,Middle Eastern and African,"Dignified and independent, the Afghan Hound is a regal delight to its pet parents. It is lively and charming with loved ones, and a natural-born athlete: an energetic breed that needs lots of exercise to stay happy.",https://www.wisdompanel.com/en-us/dog-breeds/afghan-hound/,https://breed-assets.wisdompanel.com/dog/afghan-hound/Afghan_Hound_Color.png
Basset Hound,11–15 in,49–77 lb,10–13 yr,Hound,"The Basset Hound’s distinctly floppy ears and droopy eyes may draw you in. But their personality is what you’ll fall in love with. These friendly dogs tend to be calmer than most breeds. And though they’re sometimes hard-headed, you can lessen their stubborn tendencies with rewards-based training and motivational tools.",https://www.wisdompanel.com/en-us/dog-breeds/basset-hound/,https://breed-assets.wisdompanel.com/dog/basset-hound/Basset_Hound_Color_Small_File.png
Beagle,13–16 in,17–37 lb,10–15 yr,Hound,"Beagles are loyal dogs that enjoy plenty of physical exercise. They're a very happy breed by nature—gentle, affectionate, and playful. And with their keen noses, Beagles never meet a scent they don't want to follow.",https://www.wisdompanel.com/en-us/dog-breeds/beagle/,https://breed-assets.wisdompanel.com/dog/beagle/Beagle_Color_Small_File.png
Bloodhound,23–27 in,75–121 lb,10–12 yr,Hound,"Although Bloodhounds earn their reputation as amazing scent trackers, their gentle companionship makes them also an amazing family pet. They tend to be less energetic than other hounds, but they love being with their people and can also be great with kids.",https://www.wisdompanel.com/en-us/dog-breeds/bloodhound/,https://breed-assets.wisdompanel.com/dog/bloodhound/Bloodhound_Color_Small_File.png
Bluetick Coonhound,21–27 in,50–78 lb,11–12 yr,Hound,"A scenthound with a noble history, the Bluetick Coonhound is loyal and loving, and does well as a family pet, especially around older children. They can be reserved and wary of strangers, and are very vocal, but with the proper training and socialization they are excellent companions.",https://www.wisdompanel.com/en-us/dog-breeds/blue-tick-coonhound/,https://breed-assets.wisdompanel.com/dog/blue-tick-coonhound/Bluetick_Coonhound_Color_Small_File.png
